Name,CVE,Description,Reference,Path,Type,Role,Runtime_lang,Startup
django,CVE-2022-34265,Django Trunc(kind) and Extract(lookup_name) SQL Injection,https://www.djangoproject.com/weblog/2022/jul/04/security-releases/; https://github.com/django/django/commit/0dc9c016fadb71a067e5a42be30164e3f96c0492,source/vulhub/django/CVE-2022-34265,"SQL Injection, Framework",Data,Python,docker compose up
drupal,CVE-2014-3704,"Drupal < 7.32 ""Drupalgeddon"" SQL Injection",https://www.drupal.org/SA-CORE-2014-005; https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2014-3704,source/vulhub/drupal/CVE-2014-3704,"SQL Injection, CMS",Data,PHP,docker compose up
drupal,CVE-2017-6920,Drupal Core 8 PECL YAML Deserialization Remote Code Execution,https://www.drupal.org/forum/newsletters/security-advisories-for-drupal-core/2017-06-21/drupal-core-multiple; https://paper.seebug.org/334/,source/vulhub/drupal/CVE-2017-6920,"RCE, Deserialization, CMS",Jump_host,PHP,docker compose up
drupal,CVE-2018-7600,Drupal Drupalgeddon 2 Unauthenticated Remote Code Execution,https://www.drupal.org/sa-core-2018-002; https://research.checkpoint.com/uncovering-drupalgeddon-2/,source/vulhub/drupal/CVE-2018-7600,"RCE, CMS",Jump_host,PHP,docker compose up
drupal,CVE-2018-7602,Drupal Drupalgeddon 3 Authenticated Remote Code Execution,https://www.drupal.org/sa-core-2018-004; https://github.com/pimps/CVE-2018-7600; https://github.com/kastellanos/CVE-2018-7602,source/vulhub/drupal/CVE-2018-7602,"RCE, CMS",Jump_host,PHP,docker compose up
drupal,CVE-2019-6339,Drupal Remote Code Execution by phar deserialization,https://www.drupal.org/sa-core-2019-002; https://www.zerodayinitiative.com/blog/2019/4/11/a-series-of-unfortunate-images-drupal-1-click-to-rce-exploit-chain-detailed; https://paper.seebug.org/897/,source/vulhub/drupal/CVE-2019-6339,"RCE, Deserialization, CMS",Jump_host,PHP,docker compose up
drupal,CVE-2019-6341,Drupal Cross-Site Scripting by File Upload,https://www.drupal.org/sa-core-2019-004; https://www.zerodayinitiative.com/blog/2019/4/11/a-series-of-unfortunate-images-drupal-1-click-to-rce-exploit-chain-detailed; https://paper.seebug.org/897/,source/vulhub/drupal/CVE-2019-6341,"XSS, File Upload, CMS",Jump_host,PHP,docker compose up
dubbo,CVE-2019-17564,Apache Dubbo Java Deserialization,N/A,source/vulhub/dubbo/CVE-2019-17564,"Deserialization, RCE",Jump_host,Java,docker compose up
elasticsearch,CVE-2014-3120,ElasticSearch Remote Code Execution,https://bou.ke/blog/elasticsearch-rce/; https://www.exploit-db.com/exploits/33370,source/vulhub/elasticsearch/CVE-2014-3120,"RCE, Database",Jump_host,Java,docker compose up
elasticsearch,CVE-2015-1427,ElasticSearch Groovy Sandbox Bypass and Remote Code Execution,http://jordan-wright.com/blog/2015/03/08/elasticsearch-rce-vulnerability-cve-2015-1427/; https://github.com/XiphosResearch/exploits; http://cb.drops.wiki/drops/papers-5107.html; http://cb.drops.wiki/drops/papers-5142.html,source/vulhub/elasticsearch/CVE-2015-1427,"RCE, Expression Injection, Database",Jump_host,Java,docker compose up
elasticsearch,CVE-2015-3337,ElasticSearch Plug-in Directory Traversal,https://nvd.nist.gov/vuln/detail/CVE-2015-3337; https://github.com/elastic/elasticsearch/issues/10828,source/vulhub/elasticsearch/CVE-2015-3337,"Path Traversal, Database",Data,Java,docker compose up
elasticsearch,CVE-2015-5531,ElasticSearch Snapshot and Restore Directory Traversal,https://www.exploit-db.com/exploits/38383/; http://www.freebuf.com/vuls/99942.html,source/vulhub/elasticsearch/CVE-2015-5531,"Path Traversal, Database",Data,Java,docker compose up
electron,CVE-2018-1000006,Electron Remote Command Execution,N/A,source/vulhub/electron/CVE-2018-1000006,RCE,Jump_host,NodeJS,docker compose up
electron,CVE-2018-15685,Electron WebPreferences Remote Command Execution,https://electronjs.org/blog/web-preferences-fix; https://www.contrastsecurity.com/security-influencers/cve-2018-15685,source/vulhub/electron/CVE-2018-15685,RCE,Jump_host,NodeJS,docker compose up
elfinder,CVE-2021-32682,elFinder ZIP Parameter and Arbitrary Command Injection,https://blog.sonarsource.com/elfinder-case-study-of-web-file-manager-vulnerabilities; https://packetstormsecurity.com/files/164173/elfinder_archive_cmd_injection.rb.txt; https://xz.aliyun.com/t/10739,source/vulhub/elfinder/CVE-2021-32682,RCE,Jump_host,PHP,docker compose up
erlang,CVE-2025-32433,Unauthenticated Remote Code Execution in Erlang/OTP SSH,N/A,source/vulhub/erlang/CVE-2025-32433,RCE,Jump_host,Unknown-Web,docker compose up
fastjson,CVE-2017-18349,Fastjson 1.2.24 Deserialization Remote Command Execution,https://www.freebuf.com/vuls/208339.html; http://xxlegend.com/2017/04/29/title-%20fastjson%20%E8%BF%9C%E7%A8%8B%E5%8F%8D%E5%BA%8F%E5%88%97%E5%8C%96poc%E7%9A%84%E6%9E%84%E9%80%A0%E5%92%8C%E5%88%86%E6%9E%90/,source/vulhub/fastjson/1.2.24-rce,"RCE, Deserialization",Jump_host,Java,docker compose up
ffmpeg,"CVE-2016-1897, CVE-2016-1898",FFmpeg Arbitrary File Read and SSRF,https://tttang.com/archive/465/; http://habrahabr.ru/company/mailru/blog/274855/; http://xdxd.love/2016/01/18/ffmpeg-SSRF%E6%BC%8F%E6%B4%9E%E5%88%86%E6%9E%90/,source/vulhub/ffmpeg/CVE-2016-1897,"Path Traversal, SSRF",Data,Library/Tool,docker compose up
ffmpeg,CVE-2017-9993,FFmpeg AVI Arbitrary File Read,https://docs.google.com/presentation/d/1yqWy_aE3dQNXAhW8kxMxRqtP7qMHaIfMzUDpEqFneos/; https://github.com/neex/ffmpeg-avi-m3u-xbin; https://www.anquanke.com/post/id/86337,source/vulhub/ffmpeg/CVE-2017-9993,Path Traversal,Data,Library/Tool,docker compose up
flink,CVE-2020-17518,Apache Flink Upload Path Traversal,https://github.com/apache/flink/commit/a5264a6f41524afe8ceadf1d8ddc8c80f323ebc4; https://nvd.nist.gov/vuln/detail/CVE-2020-17518,source/vulhub/flink/CVE-2020-17518,Path Traversal,Data,Java,docker compose up
flink,CVE-2020-17519,Apache Flink `jobmanager/logs` Path Traversal,https://github.com/apache/flink/commit/b561010b0ee741543c3953306037f00d7a9f0801; https://nvd.nist.gov/vuln/detail/CVE-2020-17519,source/vulhub/flink/CVE-2020-17519,Path Traversal,Data,Java,docker compose up
geoserver,CVE-2021-40822,GeoServer Unauthenticated Server-Side Request Forgery,https://github.com/geoserver/geoserver/security/advisories/GHSA-7g5f-wrx8-5ccf; https://nvd.nist.gov/vuln/detail/CVE-2021-40822,source/vulhub/geoserver/CVE-2021-40822,SSRF,Data,Unknown-Web,docker compose up
geoserver,"CVE-2022-24816, CVE-2023-35042",GeoServer Remote Code Injection caused by JAI-EXT,https://www.synacktiv.com/publications/exploiting-cve-2022-24816-a-code-injection-in-the-jt-jiffle-extension-of-geoserver; https://github.com/geosolutions-it/jai-ext/security/advisories/GHSA-v92f-jx6p-73rx; https://geoserver.org/vulnerability/2022/04/11/geoserver-2-jiffle-jndi-rce.html; https://osgeo-org.atlassian.net/browse/GEOS-10458; https://github.com/projectdiscovery/nuclei-templates/blob/main/http/cves/2022/CVE-2022-24816.yaml,source/vulhub/geoserver/CVE-2022-24816,RCE,Jump_host,Unknown-Web,docker compose up
geoserver,CVE-2023-25157,GeoServer OGC Filter SQL Injection,https://github.com/murataydemir/CVE-2023-25157-and-CVE-2023-25158; https://github.com/advisories/GHSA-7g5f-wrx8-5ccf,source/vulhub/geoserver/CVE-2023-25157,SQL Injection,Data,Unknown-Web,docker compose up
geoserver,CVE-2024-36401,GeoServer Unauthenticated Remote Code Execution in Evaluating Property Name Expressions,https://github.com/geoserver/geoserver/security/advisories/GHSA-6jj6-gm7p-fcvv; https://github.com/geotools/geotools/security/advisories/GHSA-w3pj-wh35-fq8w; https://tttang.com/archive/1771/; https://github.com/Warxim/CVE-2022-41852,source/vulhub/geoserver/CVE-2024-36401,"RCE, Expression Injection",Jump_host,Unknown-Web,docker compose up
ghostscript,CVE-2018-16509,GhostScript Sandbox Bypass Command Execution,http://seclists.org/oss-sec/2018/q3/142; https://bugs.chromium.org/p/project-zero/issues/detail?id=1640,source/vulhub/ghostscript/CVE-2018-16509,RCE,Jump_host,NodeJS,docker compose up
ghostscript,CVE-2018-19475,GhostScript Sandbox Bypass Command Execution,https://blog.semmle.com/ghostscript-CVE-2018-19475/; https://bugs.ghostscript.com/show_bug.cgi?id=700153,source/vulhub/ghostscript/CVE-2018-19475,RCE,Jump_host,NodeJS,docker compose up
ghostscript,CVE-2019-6116,GhostScript Sandbox Bypass Command Execution,https://bugs.chromium.org/p/project-zero/issues/detail?id=1729&desc=2; https://www.anquanke.com/post/id/170255,source/vulhub/ghostscript/CVE-2019-6116,RCE,Jump_host,NodeJS,docker compose up
git,CVE-2017-8386,GIT-SHELL Sandbox Bypass Leads to RCE,https://insinuator.net/2017/05/git-shell-bypass-by-abusing-less-cve-2017-8386/; https://www.leavesongs.com/PENETRATION/git-shell-cve-2017-8386.html,source/vulhub/git/CVE-2017-8386,RCE,Jump_host,Shell,docker compose up
gitlab,CVE-2016-9086,GitLab Arbitrary File Read,https://about.gitlab.com/releases/2016/11/02/cve-2016-9086-patches/; https://hackerone.com/reports/178152; http://paper.seebug.org/104/,source/vulhub/gitlab/CVE-2016-9086,Path Traversal,Data,Ruby,docker compose up
gitlab,CVE-2021-22205,GitLab Remote Command Execution,https://hackerone.com/reports/1154542; https://devcraft.io/2021/05/04/exiftool-arbitrary-code-execution-cve-2021-22204.html; https://security.humanativaspa.it/gitlab-ce-cve-2021-22205-in-the-wild/; https://github.com/projectdiscovery/nuclei-templates/blob/master/cves/2021/CVE-2021-22205.yaml,source/vulhub/gitlab/CVE-2021-22205,RCE,Jump_host,Ruby,docker compose up
gitlist,CVE-2018-1000533,gitlist 0.6.0 Remote Command Execution,https://github.com/klaussilveira/gitlist/commit/87b8c26b023c3fc37f0796b14bb13710f397b322; https://www.exploit-db.com/exploits/44548; https://www.leavesongs.com/PENETRATION/escapeshellarg-and-parameter-injection.html,source/vulhub/gitlist/CVE-2018-1000533,RCE,Jump_host,PHP,docker compose up
glassfish,CVE-2017-1000028,GlassFish 4.1.0 Arbitrary File Read,https://www.trustwave.com/Resources/Security-Advisories/Advisories/TWSL2015-016/?fid=6904; https://www.leavesongs.com/PENETRATION/utf-8-overlong-encoding.html,source/vulhub/glassfish/CVE-2017-1000028,"Path Traversal, Webserver",Data,Java,docker compose up
goahead,CVE-2017-17562,GoAhead Web Server Environment Variables Injection and `LD_PRELOAD` Remote Code Execution,https://www.elttam.com.au/blog/goahead/; https://www.exploit-db.com/exploits/43360; https://github.com/rapid7/metasploit-framework/blob/master/modules/exploits/linux/http/goahead_ldpreload.rb,source/vulhub/goahead/CVE-2017-17562,"RCE, Environment Injection",Jump_host,Unknown-Web,docker compose up
goahead,CVE-2021-42342,GoAhead Web Server Environment Variables Injection and `LD_PRELOAD` Remote Code Execution,https://github.com/vulhub/vulhub/tree/master/goahead/CVE-2017-17562; https://ahmed-belkahla.me/post/2-methods-rce-0-day-in-goahead-webserver-pbctf-2021/; https://mp.weixin.qq.com/s/AS9DHeHtgqrgjTb2gzLJZg,source/vulhub/goahead/CVE-2021-42342,"RCE, Environment Injection",Jump_host,Unknown-Web,docker compose up
gogs,CVE-2018-18925,Gogs Session Overwrite and Arbitrary User Forge,https://github.com/gogs/gogs/issues/5469; https://xz.aliyun.com/t/3168; https://www.anquanke.com/post/id/163575,source/vulhub/gogs/CVE-2018-18925,"Auth Bypass, Path Traversal",Data,Go/Binary,docker compose up
gradio,CVE-2023-51449,Gradio File Path Traversal,https://github.com/gradio-app/gradio/pull/6833; https://github.com/gradio-app/gradio/security/advisories/GHSA-6qm2-wpxq-7qh2,source/vulhub/gradio/CVE-2023-51449,"Path Traversal, LLM",Data,Python,docker compose up
gradio,CVE-2024-1561,Gradio Arbitrary File Read,https://github.com/gradio-app/gradio/pull/6884; https://nvd.nist.gov/vuln/detail/CVE-2024-1561,source/vulhub/gradio/CVE-2024-1561,"Path Traversal, LLM",Data,Python,docker compose up
grafana,CVE-2021-43798,Grafana 8.x Plug-in Module Directory Traversal,https://grafana.com/blog/2021/12/07/grafana-8.3.1-8.2.7-8.1.8-and-8.0.7-released-with-high-severity-security-fix/; https://twitter.com/hacker_/status/1467880514489044993; https://nosec.org/home/detail/4914.html; https://mp.weixin.qq.com/s/dqJ3F_fStlj78S0qhQ3Ggw,source/vulhub/grafana/CVE-2021-43798,Path Traversal,Data,Go/Binary,docker compose up
h2database,CVE-2018-10054,H2 Database Web Console Authentication Remote Code Execution,https://mthbernardes.github.io/rce/2018/03/14/abusing-h2-database-alias.html; https://www.exploit-db.com/exploits/45506; https://github.com/h2database/h2database/issues/1225; https://github.com/h2database/h2database/pull/1580; https://github.com/h2database/h2database/pull/1726,source/vulhub/h2database/CVE-2018-10054,"Database, RCE",Jump_host,Java,docker compose up
h2database,CVE-2021-42392,H2 Database Web Console Pre-Auth JNDI Injection RCE,https://jfrog.com/blog/the-jndi-strikes-back-unauthenticated-rce-in-h2-database-console/; https://mp.weixin.qq.com/s?__biz=MzI2NTM1MjQ3OA==&mid=2247483658&idx=1&sn=584710da0fbe56c1246755147bcec48e; https://github.com/h2database/h2database/commit/b24aa46f48904ce64443f8f4353d70a2eed09037; https://github.com/h2database/h2database/security/advisories/GHSA-h376-j262-vhq6,source/vulhub/h2database/CVE-2021-42392,"Database, RCE",Jump_host,Java,docker compose up
h2database,CVE-2022-23221,H2 Database Web Console Pre-Auth JDBC Attack RCE,https://conference.hitb.org/hitbsecconf2021sin/materials/D1T2%20-%20Make%20JDBC%20Attacks%20Brilliant%20Again%20-%20Xu%20Yuanzhen%20&%20Chen%20Hongkun.pdf; https://www.leavesongs.com/PENETRATION/talk-about-h2database-rce.html; https://github.com/h2database/h2database/releases/tag/version-2.1.210; https://github.com/h2database/h2database/pull/1580; https://github.com/h2database/h2database/pull/1726,source/vulhub/h2database/CVE-2022-23221,"Database, RCE",Jump_host,Java,docker compose up
hertzbeat,CVE-2024-42323,Apache HertzBeat SnakeYaml Deserialization Remote Code Execution,https://forum.butian.net/article/612; https://lists.apache.org/thread/dwpwm572sbwon1mknlwhkpbom2y7skbx; https://github.com/wy876/wiki/blob/main/Apache/Apache-HertzBeat-SnakeYaml%E5%8F%8D%E5%BA%8F%E5%88%97%E5%8C%96%E6%BC%8F%E6%B4%9E(CVE-2024-42323).md,source/vulhub/hertzbeat/CVE-2024-42323,"RCE, Deserialization",Jump_host,Java,docker compose up
