source_summary,created_at,template,model,agent_runner,agent_context,noise_level,max_turns,agent_timeout,result_records,build_succeeded,build_failed,build_incomplete,agent_evaluated,agent_succeeded,objective_succeeded
data/guide_ablation/decoy_smoke_current_matched_high/summary.json,2026-07-27T13:57:39.629683+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,matched-high,80,1800,4,0,0,4,0,0,0
data/guide_ablation/decoy_smoke_current_matched_high_env/summary.json,2026-07-27T14:18:55.336758+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,matched-high,80,1800,4,3,1,0,0,0,0
data/guide_ablation/decoy_smoke_current_matched_high_env_retry/summary.json,2026-07-27T14:26:15.099689+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,matched-high,80,1800,1,1,0,0,0,0,0
data/guide_ablation/decoy_smoke_current_none/summary.json,2026-07-27T13:57:39.803129+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,none,80,1800,4,0,0,4,0,0,0
data/guide_ablation/decoy_smoke_current_none_agent/summary.json,2026-07-27T15:20:43.099221+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,none,300,3600,4,4,0,0,4,0,0
data/guide_ablation/decoy_smoke_current_none_env/summary.json,2026-07-27T14:07:30.800409+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,none,80,1800,4,4,0,0,0,0,0
data/guide_ablation/decoy_smoke_l1_matched_high_success_cases/summary.json,2026-07-27T16:35:14.797986+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,500,3600,2,1,1,0,1,0,0
data/guide_ablation/decoy_smoke_l2_none_current/summary.json,2026-07-27T15:31:00.708447+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,0,0,0,0,0,0,0
data/guide_ablation/glm52_l2_none_50_rerun_20260728/summary.json,2026-07-28T20:03:54.994645+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,50,50,0,0,50,4,4
data/guide_ablation/glm52_l2_none_smoke_20260728/summary.json,2026-07-28T06:04:43.057020+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,20,300,1,1,0,0,1,0,0
data/guide_ablation/glm52_l2_none_stratified_50_20260728/summary.json,2026-07-28T07:07:04.525815+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,50,12,0,38,12,1,1
data/guide_ablation/guided_reconciled/summary.json,,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,72,72,0,0,72,72,72
data/guide_ablation/hetero100_12149_retry/summary.json,2026-07-21T04:29:21.870572+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,none,150,2400,8,8,0,0,8,0,1
data/guide_ablation/hetero100_apr_retry/summary.json,2026-07-21T03:18:53.776899+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,none,150,2400,24,8,16,0,8,6,6
data/guide_ablation/hetero100_guided/summary.json,2026-07-20T20:12:22.227409+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,none,150,2400,100,72,27,1,72,45,44
data/guide_ablation/hetero_batch2_guided/summary.json,2026-07-21T07:46:00.212310+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,none,150,2400,100,94,6,0,94,49,46
data/guide_ablation/l0_gpt56luna/summary.json,2026-07-22T17:09:09.823725+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l0,baseline,500,7200,50,50,0,0,50,0,0
data/guide_ablation/l0_stratified_50/summary.json,2026-07-22T02:32:13.985595+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l0,baseline,500,7200,50,47,3,0,47,1,1
data/guide_ablation/l1_gpt56luna/summary.json,2026-07-23T02:52:00.455927+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,baseline,500,7200,50,50,0,0,50,0,0
data/guide_ablation/l1_stratified_50/summary.json,2026-07-22T01:29:29.458727+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,baseline,500,7200,50,49,1,0,49,0,1
data/guide_ablation/l2_decoy_full/summary.json,2026-07-20T16:12:11.307180+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,,,29,24,0,5,24,7,0
data/guide_ablation/l2_decoy_full_v2/summary.json,2026-07-20T18:56:48.263343+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,150,2400,64,64,0,0,64,27,31
data/guide_ablation/l2_decoy_merged/summary.json,2026-07-21T13:49:23.121546+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,150,2400,115,112,3,0,112,31,31
data/guide_ablation/l2_decoy_smoke/summary.json,2026-07-20T13:41:40.562552+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,,,8,4,3,1,4,1,0
data/guide_ablation/l2_decoy_smoke_v2/summary.json,2026-07-20T14:50:27.863021+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,,,8,7,0,1,7,1,0
data/guide_ablation/l2_deepseek_high/summary.json,2026-07-24T09:34:45.807925+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,high,500,7200,0,0,0,0,0,0,0
data/guide_ablation/l2_deepseek_high_smoke4/summary.json,2026-07-24T12:51:42.616723+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,high,500,7200,4,3,0,1,3,2,2
data/guide_ablation/l2_deepseek_high_v2/summary.json,2026-07-24T11:00:24.654914+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,high,500,7200,10,0,10,0,0,0,0
data/guide_ablation/l2_deepseek_high_v3/summary.json,2026-07-24T11:22:50.537811+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,high,500,7200,3,0,2,1,0,0,0
data/guide_ablation/l2_deepseek_v2/summary.json,2026-07-23T12:58:17.411033+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,0,0,0,0,0,0,0
data/guide_ablation/l2_deepseek_v3/summary.json,2026-07-23T17:40:49.167395+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,50,50,0,0,50,15,13
data/guide_ablation/l2_gpt56luna/summary.json,2026-07-23T03:52:57.982053+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,50,50,0,0,50,1,0
data/guide_ablation/l2_gpt56luna_smoke/summary.json,2026-07-23T12:06:56.563579+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,1,1,0,0,1,0,0
data/guide_ablation/l2_gpt56luna_smoke2/summary.json,2026-07-23T12:35:13.592169+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,1,1,0,0,1,0,0
data/guide_ablation/l2_gpt56luna_v2/summary.json,2026-07-23T08:27:09.860424+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,50,50,0,0,50,1,1
data/guide_ablation/l2_kimi_rerun1/summary.json,2026-07-24T07:00:59.480890+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,1,1,0,0,1,0,0
data/guide_ablation/l2_kimi_rerun2/summary.json,2026-07-24T07:54:11.186455+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,1,1,0,0,1,1,1
data/guide_ablation/l2_kimi_smoke8/summary.json,2026-07-24T05:00:29.831626+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,8,8,0,0,8,5,5
data/guide_ablation/l2_luna_v3/summary.json,2026-07-23T15:38:01.445640+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,50,49,1,0,49,0,0
data/guide_ablation/l2_luna_v3_rerun/summary.json,2026-07-24T02:48:32.753454+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,11,11,0,0,11,0,0
data/guide_ablation/l2_sol_smoke8/summary.json,2026-07-24T03:22:20.160156+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,8,8,0,0,8,0,0
data/guide_ablation/l2_stratified_50/summary.json,2026-07-22T00:50:12.757713+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,baseline,500,7200,50,48,1,1,48,15,15
data/guide_ablation/no_guide_reconciled/summary.json,2026-07-19T12:20:43.744006+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,no_guide,unknown,,,71,70,0,1,70,47,44
data/guide_ablation/no_hint_batch/summary.json,2026-07-19T22:19:40.351416+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,no_hint,unknown,,,71,70,0,1,70,41,43
data/guide_ablation/no_hint_environment/summary.json,2026-07-19T17:46:12.390013+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,no_hint,unknown,,,4,3,0,1,0,0,0
data/guide_ablation/no_hint_glm_batch/summary.json,2026-07-28T16:36:41.840598+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,no_hint,none,100,1800,21,20,0,1,20,4,4
data/guide_ablation/no_hint_glm_smoke/summary.json,2026-07-28T14:34:49.079839+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,no_hint,none,100,1800,1,1,0,0,1,1,1
data/guide_ablation/no_hint_preflight/summary.json,2026-07-19T17:39:26.396969+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,no_hint,unknown,,,71,0,0,71,0,0,0
data/guide_ablation/overnight_l1_matched_high_8case_20260727/summary.json,2026-07-27T20:38:05.169557+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,high,500,3600,8,8,0,0,8,0,0
data/guide_ablation/overnight_l1_matched_high_anchor_20260727/summary.json,2026-07-27T17:12:21.610206+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,high,500,3600,0,0,0,0,0,0,0
data/guide_ablation/real_solr_environment/summary.json,2026-07-27T13:01:08.201704+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,matched-high,80,1800,1,0,1,0,0,0,0
data/guide_ablation/real_solr_environment_heap128/summary.json,2026-07-27T13:06:33.003257+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,matched-high,80,1800,1,0,1,0,0,0,0
data/guide_ablation/real_solr_no_sudo_environment/summary.json,2026-07-27T13:36:18.025414+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,matched-high,80,1800,1,1,0,0,0,0,0
data/guide_ablation/real_solr_smoke/summary.json,2026-07-27T12:56:08.822377+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,matched-high,80,1800,1,0,0,1,0,0,0
data/guide_ablation/sft_base_eval_l2/summary.json,2026-07-26T04:53:50.153974+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,8,8,0,0,8,0,0
data/guide_ablation/sft_dirty_v3_eval_l2_smoke/summary.json,2026-07-26T07:47:59.739771+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,150,1200,2,2,0,0,2,0,0
data/guide_ablation/sft_v1_eval/summary.json,2026-07-25T04:57:42.427613+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,8,8,0,0,8,0,0
data/guide_ablation/sft_v1_eval_v2/summary.json,2026-07-25T05:43:15.877727+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,8,0,8,0,0,0,0
data/guide_ablation/sft_v1_eval_v3/summary.json,2026-07-25T06:35:49.935090+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,8,8,0,0,8,0,0
data/guide_ablation/sft_v1_eval_v4/summary.json,2026-07-25T06:48:42.876318+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,8,2,6,0,2,0,0
data/guide_ablation/sft_v1_eval_v5/summary.json,2026-07-25T07:19:44.011842+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,100,1200,8,8,0,0,8,0,0
data/guide_ablation/sft_v2_eval/summary.json,2026-07-25T18:02:51.730643+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,8,0,8,0,0,0,0
data/guide_ablation/sft_v2_eval_l2/summary.json,2026-07-25T18:08:13.103043+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,8,0,8,0,0,0,0
data/guide_ablation/sft_v2_eval_l2_fixed/summary.json,2026-07-26T02:46:26.493757+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,2,2,0,0,2,0,0
data/guide_ablation/sft_v2_eval_l2_fixed2/summary.json,2026-07-26T02:55:22.859965+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,0,0,0,0,0,0,0
data/guide_ablation/sft_v2_eval_l2_run2/summary.json,2026-07-25T18:44:22.544969+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,8,8,0,0,8,0,0
data/guide_ablation/surface_profile_smoke/summary.json,2026-07-27T11:18:59.101408+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,80,1800,1,0,0,1,0,0,0
data/guide_ablation/surface_profile_smoke_v2/summary.json,2026-07-27T11:31:36.776165+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,80,1800,1,0,0,1,0,0,0
data/guide_ablation/surface_profile_smoke_v3/summary.json,2026-07-27T11:41:27.752409+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,80,1800,1,0,0,1,0,0,0
data/guide_ablation/surface_profile_smoke_v4/summary.json,2026-07-27T11:50:57.723665+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,80,1800,1,0,0,1,0,0,0
data/guide_ablation/surface_profile_smoke_v5/summary.json,2026-07-27T12:02:55.430482+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,80,1800,1,0,0,1,0,0,0
data/guide_ablation/surface_profile_smoke_v6/summary.json,2026-07-27T12:08:19.679156+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,80,1800,1,0,0,1,0,0,0
data/guide_ablation/surface_profile_smoke_v7/summary.json,2026-07-27T12:17:51.616960+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,80,1800,1,0,0,1,0,0,0
data/guide_ablation/surface_profile_smoke_v8/summary.json,2026-07-27T12:25:39.216617+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,80,1800,1,0,0,1,0,0,0
data/guide_ablation/surface_profile_smoke_v9/summary.json,2026-07-27T12:34:04.890617+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,80,1800,1,0,0,1,0,0,0
data/scenarios_control_internal_single/summary.json,2026-07-19T05:45:58.269685+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,1,1,0,0,0,0,0
data/scenarios_control_route_batch_19/summary.json,2026-07-19T07:20:48.948006+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,19,17,1,1,17,11,12
data/scenarios_control_route_single/summary.json,2026-07-19T06:05:38.282280+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,1,1,0,0,1,1,1
data/scenarios_enterprise3_agent/smoke-000/summary.json,2026-07-18T12:30:39.531550+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,5,5,0,0,5,4,4
data/scenarios_enterprise3_env/shard-000/summary.json,2026-07-18T10:06:36.614310+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,20,18,2,0,0,0,0
data/scenarios_enterprise3_env/shard-001/summary.json,2026-07-18T11:01:56.175368+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,24,20,4,0,0,0,0
data/scenarios_enterprise3_matrix/summary.json,2026-07-18T05:45:54.425001+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,5,5,0,0,0,0,0
data/scenarios_enterprise3_matrix_preflight/summary.json,2026-07-18T08:51:37.550093+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,20,0,0,20,0,0,0
data/scenarios_enterprise3_wave002_env_representative/summary.json,2026-07-18T16:05:49.856161+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,96,87,9,0,0,0,0
data/scenarios_enterprise3_wave002_guided_overnight/summary.json,2026-07-19T00:30:51.065296+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,87,86,1,0,86,53,52
data/scenarios_enterprise3_wave002_guided_quota_rerun/summary.json,2026-07-19T04:15:05.810639+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,20,18,2,0,0,0,0
data/scenarios_enterprise3_wave002_preflight/summary.json,2026-07-18T14:32:26.231838+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,0,0,0,0,0,0,0
data/scenarios_enterprise3_wave002_preflight_shard000/summary.json,2026-07-18T14:53:46.916275+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,414,0,0,414,0,0,0
data/scenarios_enterprise3_wave002_preflight_shard001/summary.json,2026-07-18T14:53:46.495607+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,414,0,0,414,0,0,0
data/scenarios_enterprise3_wave002_preflight_shard002/summary.json,2026-07-18T14:53:46.834744+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,414,0,0,414,0,0,0
data/scenarios_enterprise3_wave002_preflight_shard003/summary.json,2026-07-18T14:53:41.654704+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,414,0,0,414,0,0,0
data/scenarios_guided_batch/summary.json,2026-07-15T14:51:30.119950+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,6,6,0,0,6,1,1
data/scenarios_guided_batch_next/summary.json,2026-07-17T06:40:19.904228+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,6,6,0,0,6,4,4
data/scenarios_guided_batch_rerun/summary.json,2026-07-15T15:25:59.356093+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,1,0,0,1,0,0,0
data/scenarios_guided_batch_rerun2/summary.json,2026-07-15T16:24:57.482026+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,6,5,1,0,5,1,1
data/scenarios_guided_batch_rerun3/summary.json,2026-07-15T17:15:02.871364+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,1,1,0,0,1,0,0
data/scenarios_guided_contract_pilot/summary.json,2026-07-15T17:43:06.116173+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,3,0,0,3,0,0,0
data/scenarios_guided_preflight/summary.json,2026-07-17T04:22:25.866800+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,7,0,0,7,0,0,0
data/scenarios_parallel_env4/summary.json,2026-07-18T13:37:03.544760+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,4,2,2,0,0,0,0
data/scenarios_parallel_smoke2/summary.json,2026-07-18T13:03:39.920046+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,unknown,unknown,,,2,2,0,0,0,0,0
